account,posted_at,amount,direction,description
checking,2025-08-01,-3200.00,debit,APARTMENT RENT 123 MAIN ST
checking,2025-09-01,-3200.00,debit,APARTMENT RENT 123 MAIN ST
checking,2025-08-02,4200.00,credit,PAYROLL*ACME INC
checking,2025-08-16,4200.00,credit,PAYROLL*ACME INC
checking,2025-08-30,4200.00,credit,PAYROLL*ACME INC
checking,2025-09-13,4200.00,credit,PAYROLL*ACME INC
checking,2025-08-05,-15.99,debit,Netflix
checking,2025-08-07,-9.99,debit,SPOTIFY USA
checking,2025-09-05,-15.99,debit,NETFLIX.COM 408-835-5939
checking,2025-09-07,-9.99,debit,Spotify Family
checking,2025-08-02,-54.12,debit,TRADERJOES 123 BK
checking,2025-08-09,-54.12,debit,TRADER JOE'S #123 BKLYN
checking,2025-08-16,-38.45,debit,WHOLE FOODS MARKET #102
checking,2025-09-06,-65.90,debit,WHOLE FOODS MARKET #102
checking,2025-09-13,-65.90,debit,TRADER JOES #123 BROOKLYN
checking,2025-09-20,-38.45,debit,TRADER JOE'S #123 REFUND
checking,2025-08-03,54.12,credit,TRADER JOES REFUND #123
checking,2025-08-02,-24.70,debit,UBER 063015 SHUTTLE
checking,2025-08-15,-7.75,debit,OMNY TAP
checking,2025-08-02,-24.70,debit,OMNY TAP
checking,2025-09-15,-32.10,debit,OMNY TAP
checking,2025-08-15,-7.75,debit,NYCT PAYGO OMNY
checking,2025-08-18,-24.70,debit,UBER *TRIP 9F2D1 NYC
checking,2025-09-14,-18.45,debit,MTA*METROCARD VENDING
checking,2025-08-18,-24.70,debit,UBER *EATS 8JK21
checking,2025-10-01,-12.35,debit,LYFT RIDE 67890
checking,2025-08-06,-12.35,debit,MTA*METROCARD VENDING
checking,2025-08-23,-16.20,debit,SBX*STARBUCKS APP
checking,2025-09-21,-22.80,debit,STARBUCKS #0421 NYC
checking,2025-09-04,-22.80,debit,STARBUCKS #0421 NYC
checking,2025-08-06,-16.20,debit,SHAKE SHACK #23
checking,2025-09-23,-16.20,debit,JOE'S PIZZA GREENWICH
checking,2025-09-06,-8.50,debit,STARBUCKS CARD RELOAD
checking,2025-08-03,-12.75,debit,JOE'S PIZZA GREENWICH
checking,2025-09-19,-8.50,debit,SBX*STARBUCKS APP
checking,2025-09-24,-8.50,debit,STARBUCKS CARD RELOAD
checking,2025-08-25,-22.80,debit,SBX*STARBUCKS APP
checking,2025-09-10,-120.30,debit,WALMART #1235 LONG ISLAND
checking,2025-08-11,-120.30,debit,TARGET STORE #T1234
checking,2025-08-14,-120.30,debit,AMZN DIGITAL 888-802-3080
checking,2025-09-14,-45.00,debit,AMZN DIGITAL 888-802-3080
checking,2025-09-08,-67.89,debit,AMZN DIGITAL 888-802-3080
checking,2025-09-04,-67.89,debit,AMZN DIGITAL 888-802-3080
checking,2025-08-11,-230.00,debit,AMZN Mktp US*X1Y2Z
checking,2025-08-18,-67.89,debit,AMZN DIGITAL 888-802-3080
checking,2025-08-20,-142.33,debit,CON ED BILL
checking,2025-09-20,-151.12,debit,CONEDISON *AUTO PAY
checking,2025-09-23,-23.45,debit,CVS PHARMACY 10422
checking,2025-09-22,-56.20,debit,CVS PHARMACY 10422
checking,2025-08-26,-12.99,debit,WALGREENS #22131
checking,2025-08-14,-23.45,debit,WALGREENS #22131
checking,2025-08-25,-420.10,debit,UNITED AIRLINES TKT 0161234567890
checking,2025-08-26,-285.50,debit,HYATT GRAND CENTRAL
checking,2025-09-10,-24.70,debit,UBER 063015 SHUTTLE
checking,2025-09-10,-24.70,debit,UBER 063015 SHUTTLE
